Episode: 1, total numsteps: 99, episode steps: 0, reward: -244.35
Episode: 2, total numsteps: 181, episode steps: 0, reward: -182.65
Episode: 3, total numsteps: 299, episode steps: 0, reward: -345.13
Episode: 4, total numsteps: 383, episode steps: 0, reward: -233.64
Episode: 5, total numsteps: 482, episode steps: 0, reward: -89.37
Episode: 6, total numsteps: 642, episode steps: 0, reward: -403.97
Episode: 7, total numsteps: 740, episode steps: 0, reward: -351.2
Episode: 8, total numsteps: 812, episode steps: 0, reward: -142.63
Episode: 9, total numsteps: 903, episode steps: 0, reward: -444.2
Episode: 10, total numsteps: 991, episode steps: 0, reward: -112.37
Episode: 11, total numsteps: 1088, episode steps: 0, reward: -56.76
Episode: 12, total numsteps: 1195, episode steps: 0, reward: -175.35
Episode: 13, total numsteps: 1304, episode steps: 0, reward: -93.01
Episode: 14, total numsteps: 1403, episode steps: 0, reward: -251.91
Episode: 15, total numsteps: 1515, episode steps: 0, reward: -454.19
Episode: 16, total numsteps: 1591, episode steps: 0, reward: -191.96
Episode: 17, total numsteps: 1677, episode steps: 0, reward: -191.62
Episode: 18, total numsteps: 1843, episode steps: 0, reward: -181.95
Episode: 19, total numsteps: 1982, episode steps: 0, reward: -560.78
Episode: 20, total numsteps: 2181, episode steps: 0, reward: -328.64
Episode: 21, total numsteps: 2322, episode steps: 0, reward: -678.07
Episode: 22, total numsteps: 2448, episode steps: 0, reward: -442.55
Episode: 23, total numsteps: 2549, episode steps: 0, reward: -70.27
Episode: 24, total numsteps: 2690, episode steps: 0, reward: -283.62
Episode: 25, total numsteps: 2860, episode steps: 0, reward: -308.98
Episode: 26, total numsteps: 3040, episode steps: 0, reward: -338.98
Episode: 27, total numsteps: 3130, episode steps: 0, reward: -302.78
Episode: 28, total numsteps: 3362, episode steps: 0, reward: -188.9
Episode: 29, total numsteps: 3481, episode steps: 0, reward: -169.97
Episode: 30, total numsteps: 4183, episode steps: 0, reward: -129.1
Episode: 31, total numsteps: 4592, episode steps: 0, reward: 1.45
Episode: 32, total numsteps: 5105, episode steps: 0, reward: -124.09
Episode: 33, total numsteps: 5720, episode steps: 0, reward: -227.77
Episode: 34, total numsteps: 6210, episode steps: 0, reward: -136.26
Episode: 35, total numsteps: 6449, episode steps: 0, reward: -32.02
Episode: 36, total numsteps: 7275, episode steps: 0, reward: -173.9
Episode: 37, total numsteps: 7677, episode steps: 0, reward: -81.81
Episode: 38, total numsteps: 8393, episode steps: 0, reward: -220.54
Episode: 39, total numsteps: 8760, episode steps: 0, reward: -174.74
Episode: 40, total numsteps: 9760, episode steps: 0, reward: -4.56
Episode: 41, total numsteps: 9986, episode steps: 0, reward: -81.18
Episode: 42, total numsteps: 10986, episode steps: 0, reward: -79.71
Episode: 43, total numsteps: 11986, episode steps: 0, reward: -27.5
Episode: 44, total numsteps: 12986, episode steps: 0, reward: -12.62
Episode: 45, total numsteps: 13986, episode steps: 0, reward: -30.04
Episode: 46, total numsteps: 14986, episode steps: 0, reward: -48.09
Episode: 47, total numsteps: 15986, episode steps: 0, reward: -5.45
Episode: 48, total numsteps: 16986, episode steps: 0, reward: 12.65
Episode: 49, total numsteps: 17332, episode steps: 0, reward: -165.3
Episode: 50, total numsteps: 17958, episode steps: 0, reward: -138.9
Episode: 51, total numsteps: 18958, episode steps: 0, reward: 41.17
Episode: 52, total numsteps: 19958, episode steps: 0, reward: 15.35
Episode: 53, total numsteps: 20170, episode steps: 0, reward: -106.09
Episode: 54, total numsteps: 21170, episode steps: 0, reward: -83.29
Episode: 55, total numsteps: 21325, episode steps: 0, reward: -93.86
Episode: 56, total numsteps: 22325, episode steps: 0, reward: -96.32
Episode: 57, total numsteps: 22787, episode steps: 0, reward: -145.78
Episode: 58, total numsteps: 23442, episode steps: 0, reward: -148.29
Episode: 59, total numsteps: 23878, episode steps: 0, reward: -157.62
Episode: 60, total numsteps: 24170, episode steps: 0, reward: -119.26
Episode: 61, total numsteps: 24530, episode steps: 0, reward: -144.14
Episode: 62, total numsteps: 25530, episode steps: 0, reward: -84.91
Episode: 63, total numsteps: 26360, episode steps: 0, reward: -143.85
Episode: 64, total numsteps: 27360, episode steps: 0, reward: -95.49
Episode: 65, total numsteps: 28360, episode steps: 0, reward: -127.73
Episode: 66, total numsteps: 29051, episode steps: 0, reward: -183.79
Episode: 67, total numsteps: 29978, episode steps: 0, reward: -181.52
Episode: 68, total numsteps: 30978, episode steps: 0, reward: -73.29
Episode: 69, total numsteps: 31978, episode steps: 0, reward: -75.71
Episode: 70, total numsteps: 32978, episode steps: 0, reward: -65.12
Episode: 71, total numsteps: 33978, episode steps: 0, reward: -66.3
Episode: 72, total numsteps: 34978, episode steps: 0, reward: -92.83
Episode: 73, total numsteps: 35978, episode steps: 0, reward: -90.05
Episode: 74, total numsteps: 36978, episode steps: 0, reward: -8.12
Episode: 75, total numsteps: 37978, episode steps: 0, reward: -9.97
Episode: 76, total numsteps: 38978, episode steps: 0, reward: -19.2
Episode: 77, total numsteps: 39978, episode steps: 0, reward: -83.33
Episode: 78, total numsteps: 40978, episode steps: 0, reward: -51.05
Episode: 79, total numsteps: 41978, episode steps: 0, reward: -70.98
Episode: 80, total numsteps: 42978, episode steps: 0, reward: -32.53
Episode: 81, total numsteps: 43978, episode steps: 0, reward: -14.42
Episode: 82, total numsteps: 44978, episode steps: 0, reward: -44.42
Episode: 83, total numsteps: 45978, episode steps: 0, reward: -4.24
Episode: 84, total numsteps: 46978, episode steps: 0, reward: -44.16
Episode: 85, total numsteps: 47978, episode steps: 0, reward: -29.86
Episode: 86, total numsteps: 48978, episode steps: 0, reward: -46.86
Episode: 87, total numsteps: 49978, episode steps: 0, reward: -49.19
Episode: 88, total numsteps: 50186, episode steps: 0, reward: -91.08
Episode: 89, total numsteps: 51186, episode steps: 0, reward: -34.37
Episode: 90, total numsteps: 52186, episode steps: 0, reward: -1.61
Episode: 91, total numsteps: 53186, episode steps: 0, reward: 4.23
Episode: 92, total numsteps: 53487, episode steps: 0, reward: -135.5
Episode: 93, total numsteps: 54487, episode steps: 0, reward: -12.02
Episode: 94, total numsteps: 55487, episode steps: 0, reward: -38.98
Episode: 95, total numsteps: 55668, episode steps: 0, reward: -103.64
Episode: 96, total numsteps: 55901, episode steps: 0, reward: -119.36
Episode: 97, total numsteps: 56901, episode steps: 0, reward: -15.56
Episode: 98, total numsteps: 57216, episode steps: 0, reward: -147.48
Episode: 99, total numsteps: 58216, episode steps: 0, reward: 34.53
Episode: 100, total numsteps: 58939, episode steps: 0, reward: -81.68
Episode: 101, total numsteps: 59939, episode steps: 0, reward: -4.19
Episode: 102, total numsteps: 60939, episode steps: 0, reward: -28.89
