Episode: 1, total numsteps: 99, episode steps: 0, reward: -244.35
Episode: 2, total numsteps: 181, episode steps: 0, reward: -182.65
Episode: 3, total numsteps: 299, episode steps: 0, reward: -345.13
Episode: 4, total numsteps: 383, episode steps: 0, reward: -233.64
Episode: 5, total numsteps: 482, episode steps: 0, reward: -89.37
Episode: 6, total numsteps: 642, episode steps: 0, reward: -403.97
Episode: 7, total numsteps: 740, episode steps: 0, reward: -351.2
Episode: 8, total numsteps: 812, episode steps: 0, reward: -142.63
Episode: 9, total numsteps: 903, episode steps: 0, reward: -444.2
Episode: 10, total numsteps: 991, episode steps: 0, reward: -112.37
Episode: 11, total numsteps: 1088, episode steps: 0, reward: -56.76
Episode: 12, total numsteps: 1195, episode steps: 0, reward: -175.35
Episode: 13, total numsteps: 1304, episode steps: 0, reward: -93.01
Episode: 14, total numsteps: 1403, episode steps: 0, reward: -251.91
Episode: 15, total numsteps: 1515, episode steps: 0, reward: -454.19
Episode: 16, total numsteps: 1591, episode steps: 0, reward: -191.96
Episode: 17, total numsteps: 1677, episode steps: 0, reward: -191.62
Episode: 18, total numsteps: 1843, episode steps: 0, reward: -181.95
Episode: 19, total numsteps: 1982, episode steps: 0, reward: -560.78
Episode: 20, total numsteps: 2194, episode steps: 0, reward: -271.04
Episode: 21, total numsteps: 2434, episode steps: 0, reward: -360.69
Episode: 22, total numsteps: 2576, episode steps: 0, reward: -82.79
Episode: 23, total numsteps: 2697, episode steps: 0, reward: -293.74
Episode: 24, total numsteps: 2781, episode steps: 0, reward: -317.32
Episode: 25, total numsteps: 2871, episode steps: 0, reward: -505.81
Episode: 26, total numsteps: 2951, episode steps: 0, reward: -405.05
Episode: 27, total numsteps: 3084, episode steps: 0, reward: 37.35
Episode: 28, total numsteps: 3197, episode steps: 0, reward: -259.09
Episode: 29, total numsteps: 3352, episode steps: 0, reward: -283.04
Episode: 30, total numsteps: 3543, episode steps: 0, reward: -142.51
Episode: 31, total numsteps: 4433, episode steps: 0, reward: -145.71
Episode: 32, total numsteps: 5433, episode steps: 0, reward: -41.65
Episode: 33, total numsteps: 6187, episode steps: 0, reward: -254.44
Episode: 34, total numsteps: 6584, episode steps: 0, reward: -121.41
Episode: 35, total numsteps: 7584, episode steps: 0, reward: -28.25
Episode: 36, total numsteps: 8584, episode steps: 0, reward: -7.81
Episode: 37, total numsteps: 9203, episode steps: 0, reward: -130.57
Episode: 38, total numsteps: 9607, episode steps: 0, reward: -108.05
Episode: 39, total numsteps: 10066, episode steps: 0, reward: -54.09
Episode: 40, total numsteps: 11066, episode steps: 0, reward: -68.78
Episode: 41, total numsteps: 11612, episode steps: 0, reward: -129.1
Episode: 42, total numsteps: 12229, episode steps: 0, reward: -75.39
Episode: 43, total numsteps: 13175, episode steps: 0, reward: -37.11
Episode: 44, total numsteps: 13811, episode steps: 0, reward: -172.33
Episode: 45, total numsteps: 14150, episode steps: 0, reward: -52.56
Episode: 46, total numsteps: 14493, episode steps: 0, reward: -59.43
Episode: 47, total numsteps: 15033, episode steps: 0, reward: -64.15
Episode: 48, total numsteps: 15570, episode steps: 0, reward: -84.13
Episode: 49, total numsteps: 16570, episode steps: 0, reward: -114.44
Episode: 50, total numsteps: 17443, episode steps: 0, reward: -46.3
Episode: 51, total numsteps: 17839, episode steps: 0, reward: -138.2
Episode: 52, total numsteps: 18123, episode steps: 0, reward: -88.37
Episode: 53, total numsteps: 19123, episode steps: 0, reward: -65.79
Episode: 54, total numsteps: 20123, episode steps: 0, reward: -26.46
Episode: 55, total numsteps: 21123, episode steps: 0, reward: -10.27
Episode: 56, total numsteps: 22123, episode steps: 0, reward: -7.48
Episode: 57, total numsteps: 22844, episode steps: 0, reward: -20.2
Episode: 58, total numsteps: 23844, episode steps: 0, reward: -16.54
Episode: 59, total numsteps: 24844, episode steps: 0, reward: -16.58
Episode: 60, total numsteps: 25844, episode steps: 0, reward: -55.1
Episode: 61, total numsteps: 26844, episode steps: 0, reward: -22.22
Episode: 62, total numsteps: 27844, episode steps: 0, reward: -49.66
Episode: 63, total numsteps: 28844, episode steps: 0, reward: -2.05
Episode: 64, total numsteps: 29844, episode steps: 0, reward: -24.17
Episode: 65, total numsteps: 30844, episode steps: 0, reward: -6.5
Episode: 66, total numsteps: 30986, episode steps: 0, reward: -20.67
Episode: 67, total numsteps: 31986, episode steps: 0, reward: -36.49
Episode: 68, total numsteps: 32396, episode steps: 0, reward: -36.16
Episode: 69, total numsteps: 33396, episode steps: 0, reward: -46.51
Episode: 70, total numsteps: 34396, episode steps: 0, reward: -31.0
Episode: 71, total numsteps: 35396, episode steps: 0, reward: -25.18
Episode: 72, total numsteps: 36396, episode steps: 0, reward: -33.86
Episode: 73, total numsteps: 37396, episode steps: 0, reward: -21.84
Episode: 74, total numsteps: 38396, episode steps: 0, reward: -3.54
Episode: 75, total numsteps: 39396, episode steps: 0, reward: -2.17
Episode: 76, total numsteps: 40396, episode steps: 0, reward: -46.69
Episode: 77, total numsteps: 41396, episode steps: 0, reward: -44.95
Episode: 78, total numsteps: 42396, episode steps: 0, reward: -33.33
Episode: 79, total numsteps: 43396, episode steps: 0, reward: -45.55
Episode: 80, total numsteps: 44396, episode steps: 0, reward: -46.69
Episode: 81, total numsteps: 45396, episode steps: 0, reward: -17.98
Episode: 82, total numsteps: 46396, episode steps: 0, reward: -29.98
Episode: 83, total numsteps: 47396, episode steps: 0, reward: 3.27
Episode: 84, total numsteps: 48396, episode steps: 0, reward: 4.57
Episode: 85, total numsteps: 49396, episode steps: 0, reward: 3.9
Episode: 86, total numsteps: 50396, episode steps: 0, reward: -30.81
Episode: 87, total numsteps: 51396, episode steps: 0, reward: -34.91
Episode: 88, total numsteps: 52396, episode steps: 0, reward: -29.35
Episode: 89, total numsteps: 53396, episode steps: 0, reward: -21.09
Episode: 90, total numsteps: 54396, episode steps: 0, reward: -24.48
Episode: 91, total numsteps: 55396, episode steps: 0, reward: -2.79
Episode: 92, total numsteps: 56396, episode steps: 0, reward: -40.61
Episode: 93, total numsteps: 57396, episode steps: 0, reward: 0.12
Episode: 94, total numsteps: 58396, episode steps: 0, reward: -32.53
Episode: 95, total numsteps: 59396, episode steps: 0, reward: -26.92
Episode: 96, total numsteps: 60396, episode steps: 0, reward: -37.03
