Episode: 1, total numsteps: 99, episode steps: 0, reward: -244.35
Episode: 2, total numsteps: 181, episode steps: 0, reward: -182.65
Episode: 3, total numsteps: 299, episode steps: 0, reward: -345.13
Episode: 4, total numsteps: 383, episode steps: 0, reward: -233.64
Episode: 5, total numsteps: 482, episode steps: 0, reward: -89.37
Episode: 6, total numsteps: 642, episode steps: 0, reward: -403.97
Episode: 7, total numsteps: 740, episode steps: 0, reward: -351.2
Episode: 8, total numsteps: 812, episode steps: 0, reward: -142.63
Episode: 9, total numsteps: 903, episode steps: 0, reward: -444.2
Episode: 10, total numsteps: 991, episode steps: 0, reward: -112.37
Episode: 11, total numsteps: 1088, episode steps: 0, reward: -56.76
Episode: 12, total numsteps: 1195, episode steps: 0, reward: -175.35
Episode: 13, total numsteps: 1304, episode steps: 0, reward: -93.01
Episode: 14, total numsteps: 1403, episode steps: 0, reward: -251.91
Episode: 15, total numsteps: 1515, episode steps: 0, reward: -454.19
Episode: 16, total numsteps: 1591, episode steps: 0, reward: -191.96
Episode: 17, total numsteps: 1677, episode steps: 0, reward: -191.62
Episode: 18, total numsteps: 1843, episode steps: 0, reward: -181.95
Episode: 19, total numsteps: 1982, episode steps: 0, reward: -560.78
Episode: 20, total numsteps: 2200, episode steps: 0, reward: -89.85
Episode: 21, total numsteps: 2344, episode steps: 0, reward: -580.13
Episode: 22, total numsteps: 2473, episode steps: 0, reward: -444.86
Episode: 23, total numsteps: 2613, episode steps: 0, reward: -578.81
Episode: 24, total numsteps: 2844, episode steps: 0, reward: -322.19
Episode: 25, total numsteps: 2974, episode steps: 0, reward: -538.4
Episode: 26, total numsteps: 3080, episode steps: 0, reward: -213.61
Episode: 27, total numsteps: 3213, episode steps: 0, reward: -271.42
Episode: 28, total numsteps: 3421, episode steps: 0, reward: -371.6
Episode: 29, total numsteps: 3687, episode steps: 0, reward: -277.89
Episode: 30, total numsteps: 3952, episode steps: 0, reward: -54.88
Episode: 31, total numsteps: 4952, episode steps: 0, reward: -79.75
Episode: 32, total numsteps: 5952, episode steps: 0, reward: -26.03
Episode: 33, total numsteps: 6312, episode steps: 0, reward: -128.03
Episode: 34, total numsteps: 7312, episode steps: 0, reward: -72.72
Episode: 35, total numsteps: 8312, episode steps: 0, reward: -112.03
Episode: 36, total numsteps: 9312, episode steps: 0, reward: -61.24
Episode: 37, total numsteps: 9832, episode steps: 0, reward: -50.58
Episode: 38, total numsteps: 10004, episode steps: 0, reward: -115.52
Episode: 39, total numsteps: 10295, episode steps: 0, reward: -57.21
Episode: 40, total numsteps: 10455, episode steps: 0, reward: -102.12
Episode: 41, total numsteps: 11455, episode steps: 0, reward: -60.56
Episode: 42, total numsteps: 11673, episode steps: 0, reward: -119.28
Episode: 43, total numsteps: 12212, episode steps: 0, reward: -52.01
Episode: 44, total numsteps: 12715, episode steps: 0, reward: -36.73
Episode: 45, total numsteps: 12963, episode steps: 0, reward: -51.46
Episode: 46, total numsteps: 13199, episode steps: 0, reward: -18.67
Episode: 47, total numsteps: 13400, episode steps: 0, reward: -14.98
Episode: 48, total numsteps: 14154, episode steps: 0, reward: -74.59
Episode: 49, total numsteps: 14885, episode steps: 0, reward: -50.15
Episode: 50, total numsteps: 15245, episode steps: 0, reward: -116.55
Episode: 51, total numsteps: 15894, episode steps: 0, reward: -163.94
Episode: 52, total numsteps: 16653, episode steps: 0, reward: -54.58
Episode: 53, total numsteps: 17525, episode steps: 0, reward: -144.1
Episode: 54, total numsteps: 18229, episode steps: 0, reward: -94.63
Episode: 55, total numsteps: 19229, episode steps: 0, reward: -92.32
Episode: 56, total numsteps: 19389, episode steps: 0, reward: -38.53
Episode: 57, total numsteps: 20389, episode steps: 0, reward: -46.88
Episode: 58, total numsteps: 20659, episode steps: 0, reward: -83.1
Episode: 59, total numsteps: 21659, episode steps: 0, reward: -82.03
Episode: 60, total numsteps: 22659, episode steps: 0, reward: -37.69
Episode: 61, total numsteps: 23659, episode steps: 0, reward: -41.1
Episode: 62, total numsteps: 24659, episode steps: 0, reward: -24.61
Episode: 63, total numsteps: 25659, episode steps: 0, reward: -52.83
Episode: 64, total numsteps: 26659, episode steps: 0, reward: 1.12
Episode: 65, total numsteps: 27659, episode steps: 0, reward: -33.14
Episode: 66, total numsteps: 28659, episode steps: 0, reward: -30.55
Episode: 67, total numsteps: 29659, episode steps: 0, reward: -3.29
Episode: 68, total numsteps: 30659, episode steps: 0, reward: 8.13
Episode: 69, total numsteps: 31659, episode steps: 0, reward: -26.54
Episode: 70, total numsteps: 32659, episode steps: 0, reward: -16.54
Episode: 71, total numsteps: 33659, episode steps: 0, reward: -16.19
Episode: 72, total numsteps: 34659, episode steps: 0, reward: -10.61
Episode: 73, total numsteps: 35659, episode steps: 0, reward: -38.62
Episode: 74, total numsteps: 36659, episode steps: 0, reward: -18.23
Episode: 75, total numsteps: 37659, episode steps: 0, reward: -49.99
Episode: 76, total numsteps: 38659, episode steps: 0, reward: 6.04
Episode: 77, total numsteps: 39659, episode steps: 0, reward: -22.48
Episode: 78, total numsteps: 40659, episode steps: 0, reward: -14.4
Episode: 79, total numsteps: 41659, episode steps: 0, reward: -7.72
Episode: 80, total numsteps: 42659, episode steps: 0, reward: 0.91
Episode: 81, total numsteps: 43659, episode steps: 0, reward: -17.47
Episode: 82, total numsteps: 44659, episode steps: 0, reward: -5.51
Episode: 83, total numsteps: 45659, episode steps: 0, reward: -31.0
Episode: 84, total numsteps: 46659, episode steps: 0, reward: -12.75
Episode: 85, total numsteps: 47659, episode steps: 0, reward: -16.04
Episode: 86, total numsteps: 48659, episode steps: 0, reward: -11.74
Episode: 87, total numsteps: 49659, episode steps: 0, reward: -30.35
Episode: 88, total numsteps: 50659, episode steps: 0, reward: -20.1
Episode: 89, total numsteps: 51659, episode steps: 0, reward: -36.8
Episode: 90, total numsteps: 52659, episode steps: 0, reward: -2.77
Episode: 91, total numsteps: 53659, episode steps: 0, reward: -5.73
Episode: 92, total numsteps: 54659, episode steps: 0, reward: 2.47
Episode: 93, total numsteps: 55659, episode steps: 0, reward: -5.47
Episode: 94, total numsteps: 56659, episode steps: 0, reward: -35.67
Episode: 95, total numsteps: 57659, episode steps: 0, reward: -20.36
Episode: 96, total numsteps: 58659, episode steps: 0, reward: -14.52
Episode: 97, total numsteps: 59659, episode steps: 0, reward: -18.27
Episode: 98, total numsteps: 60659, episode steps: 0, reward: -42.76
