Episode: 1, total numsteps: 99, episode steps: 0, reward: -244.35
Episode: 2, total numsteps: 181, episode steps: 0, reward: -182.65
Episode: 3, total numsteps: 299, episode steps: 0, reward: -345.13
Episode: 4, total numsteps: 383, episode steps: 0, reward: -233.64
Episode: 5, total numsteps: 482, episode steps: 0, reward: -89.37
Episode: 6, total numsteps: 642, episode steps: 0, reward: -403.97
Episode: 7, total numsteps: 740, episode steps: 0, reward: -351.2
Episode: 8, total numsteps: 812, episode steps: 0, reward: -142.63
Episode: 9, total numsteps: 903, episode steps: 0, reward: -444.2
Episode: 10, total numsteps: 991, episode steps: 0, reward: -112.37
Episode: 11, total numsteps: 1088, episode steps: 0, reward: -56.76
Episode: 12, total numsteps: 1195, episode steps: 0, reward: -175.35
Episode: 13, total numsteps: 1304, episode steps: 0, reward: -93.01
Episode: 14, total numsteps: 1403, episode steps: 0, reward: -251.91
Episode: 15, total numsteps: 1515, episode steps: 0, reward: -454.19
Episode: 16, total numsteps: 1591, episode steps: 0, reward: -191.96
Episode: 17, total numsteps: 1677, episode steps: 0, reward: -191.62
Episode: 18, total numsteps: 1843, episode steps: 0, reward: -181.95
Episode: 19, total numsteps: 1982, episode steps: 0, reward: -560.78
Episode: 20, total numsteps: 2125, episode steps: 0, reward: -451.96
Episode: 21, total numsteps: 2212, episode steps: 0, reward: -465.26
Episode: 22, total numsteps: 2294, episode steps: 0, reward: -435.26
Episode: 23, total numsteps: 2458, episode steps: 0, reward: -481.59
Episode: 24, total numsteps: 2613, episode steps: 0, reward: -55.84
Episode: 25, total numsteps: 2734, episode steps: 0, reward: -482.72
Episode: 26, total numsteps: 2810, episode steps: 0, reward: -222.51
Episode: 27, total numsteps: 2940, episode steps: 0, reward: -367.4
Episode: 28, total numsteps: 3032, episode steps: 0, reward: -458.95
Episode: 29, total numsteps: 3144, episode steps: 0, reward: -358.74
Episode: 30, total numsteps: 3295, episode steps: 0, reward: -352.18
Episode: 31, total numsteps: 3379, episode steps: 0, reward: -61.18
Episode: 32, total numsteps: 3453, episode steps: 0, reward: -234.98
Episode: 33, total numsteps: 3540, episode steps: 0, reward: -339.56
Episode: 34, total numsteps: 3650, episode steps: 0, reward: -163.21
Episode: 35, total numsteps: 3734, episode steps: 0, reward: -179.98
Episode: 36, total numsteps: 3794, episode steps: 0, reward: -115.27
Episode: 37, total numsteps: 3918, episode steps: 0, reward: -102.91
Episode: 38, total numsteps: 4025, episode steps: 0, reward: -197.59
Episode: 39, total numsteps: 4121, episode steps: 0, reward: -260.51
Episode: 40, total numsteps: 4175, episode steps: 0, reward: -90.69
Episode: 41, total numsteps: 4278, episode steps: 0, reward: -139.79
Episode: 42, total numsteps: 4344, episode steps: 0, reward: -113.64
Episode: 43, total numsteps: 4433, episode steps: 0, reward: -258.8
Episode: 44, total numsteps: 4496, episode steps: 0, reward: -205.89
Episode: 45, total numsteps: 4581, episode steps: 0, reward: -267.22
Episode: 46, total numsteps: 4644, episode steps: 0, reward: -76.72
Episode: 47, total numsteps: 4750, episode steps: 0, reward: -149.36
Episode: 48, total numsteps: 4809, episode steps: 0, reward: -101.9
Episode: 49, total numsteps: 4883, episode steps: 0, reward: -114.14
Episode: 50, total numsteps: 4943, episode steps: 0, reward: -123.73
Episode: 51, total numsteps: 5007, episode steps: 0, reward: -117.01
Episode: 52, total numsteps: 5138, episode steps: 0, reward: -15.2
Episode: 53, total numsteps: 5199, episode steps: 0, reward: -172.18
Episode: 54, total numsteps: 5266, episode steps: 0, reward: -212.87
Episode: 55, total numsteps: 5365, episode steps: 0, reward: -108.08
Episode: 56, total numsteps: 5444, episode steps: 0, reward: -138.21
Episode: 57, total numsteps: 5506, episode steps: 0, reward: -325.3
Episode: 58, total numsteps: 5595, episode steps: 0, reward: -111.44
Episode: 59, total numsteps: 5652, episode steps: 0, reward: -85.99
Episode: 60, total numsteps: 5716, episode steps: 0, reward: -83.06
Episode: 61, total numsteps: 5787, episode steps: 0, reward: 0.44
Episode: 62, total numsteps: 5904, episode steps: 0, reward: -194.44
Episode: 63, total numsteps: 5985, episode steps: 0, reward: -101.5
Episode: 64, total numsteps: 6090, episode steps: 0, reward: -122.35
Episode: 65, total numsteps: 6172, episode steps: 0, reward: -260.21
Episode: 66, total numsteps: 6251, episode steps: 0, reward: -193.85
Episode: 67, total numsteps: 6361, episode steps: 0, reward: -367.88
Episode: 68, total numsteps: 6478, episode steps: 0, reward: -500.27
Episode: 69, total numsteps: 6559, episode steps: 0, reward: -23.45
Episode: 70, total numsteps: 6646, episode steps: 0, reward: -77.55
Episode: 71, total numsteps: 6797, episode steps: 0, reward: -340.63
Episode: 72, total numsteps: 6889, episode steps: 0, reward: -402.74
Episode: 73, total numsteps: 6968, episode steps: 0, reward: -71.99
Episode: 74, total numsteps: 7096, episode steps: 0, reward: -188.73
Episode: 75, total numsteps: 7211, episode steps: 0, reward: -132.29
Episode: 76, total numsteps: 7284, episode steps: 0, reward: -131.21
Episode: 77, total numsteps: 7353, episode steps: 0, reward: -71.67
Episode: 78, total numsteps: 7441, episode steps: 0, reward: -100.0
Episode: 79, total numsteps: 7523, episode steps: 0, reward: -118.06
Episode: 80, total numsteps: 7632, episode steps: 0, reward: -455.72
Episode: 81, total numsteps: 7733, episode steps: 0, reward: -393.88
Episode: 82, total numsteps: 7799, episode steps: 0, reward: -94.08
Episode: 83, total numsteps: 7909, episode steps: 0, reward: -113.52
Episode: 84, total numsteps: 8014, episode steps: 0, reward: -296.59
Episode: 85, total numsteps: 8153, episode steps: 0, reward: -277.31
Episode: 86, total numsteps: 8237, episode steps: 0, reward: -101.43
Episode: 87, total numsteps: 8322, episode steps: 0, reward: -106.88
Episode: 88, total numsteps: 8427, episode steps: 0, reward: -127.62
Episode: 89, total numsteps: 8502, episode steps: 0, reward: -79.02
Episode: 90, total numsteps: 8605, episode steps: 0, reward: -362.95
Episode: 91, total numsteps: 8690, episode steps: 0, reward: -456.67
Episode: 92, total numsteps: 8779, episode steps: 0, reward: -345.11
Episode: 93, total numsteps: 8862, episode steps: 0, reward: -81.63
Episode: 94, total numsteps: 8988, episode steps: 0, reward: -389.36
Episode: 95, total numsteps: 9094, episode steps: 0, reward: -338.93
Episode: 96, total numsteps: 9214, episode steps: 0, reward: -118.8
Episode: 97, total numsteps: 9279, episode steps: 0, reward: -191.88
Episode: 98, total numsteps: 9447, episode steps: 0, reward: -33.08
Episode: 99, total numsteps: 9532, episode steps: 0, reward: -255.85
Episode: 100, total numsteps: 9652, episode steps: 0, reward: -287.61
Episode: 101, total numsteps: 9816, episode steps: 0, reward: -323.26
Episode: 102, total numsteps: 9943, episode steps: 0, reward: -437.42
Episode: 103, total numsteps: 10053, episode steps: 0, reward: -496.17
Episode: 104, total numsteps: 10178, episode steps: 0, reward: -81.31
Episode: 105, total numsteps: 10266, episode steps: 0, reward: -150.65
Episode: 106, total numsteps: 10379, episode steps: 0, reward: -237.97
Episode: 107, total numsteps: 10470, episode steps: 0, reward: -131.25
Episode: 108, total numsteps: 10558, episode steps: 0, reward: -130.43
Episode: 109, total numsteps: 10646, episode steps: 0, reward: -102.92
Episode: 110, total numsteps: 10731, episode steps: 0, reward: -96.1
Episode: 111, total numsteps: 10800, episode steps: 0, reward: -152.19
Episode: 112, total numsteps: 10938, episode steps: 0, reward: -110.62
Episode: 113, total numsteps: 11040, episode steps: 0, reward: -2.72
Episode: 114, total numsteps: 11124, episode steps: 0, reward: -97.61
Episode: 115, total numsteps: 11213, episode steps: 0, reward: -130.06
Episode: 116, total numsteps: 11294, episode steps: 0, reward: -99.17
Episode: 117, total numsteps: 11393, episode steps: 0, reward: -125.86
Episode: 118, total numsteps: 11515, episode steps: 0, reward: -227.94
Episode: 119, total numsteps: 11596, episode steps: 0, reward: -393.95
Episode: 120, total numsteps: 11684, episode steps: 0, reward: -393.58
Episode: 121, total numsteps: 11819, episode steps: 0, reward: -273.8
Episode: 122, total numsteps: 11909, episode steps: 0, reward: -298.91
Episode: 123, total numsteps: 12013, episode steps: 0, reward: -402.88
Episode: 124, total numsteps: 12083, episode steps: 0, reward: -334.87
Episode: 125, total numsteps: 12187, episode steps: 0, reward: -143.14
Episode: 126, total numsteps: 12329, episode steps: 0, reward: -202.26
Episode: 127, total numsteps: 12455, episode steps: 0, reward: -177.5
Episode: 128, total numsteps: 12543, episode steps: 0, reward: -129.99
Episode: 129, total numsteps: 12627, episode steps: 0, reward: -298.77
Episode: 130, total numsteps: 12732, episode steps: 0, reward: -39.49
Episode: 131, total numsteps: 12816, episode steps: 0, reward: -105.82
Episode: 132, total numsteps: 12903, episode steps: 0, reward: -203.37
Episode: 133, total numsteps: 13005, episode steps: 0, reward: -278.75
Episode: 134, total numsteps: 13100, episode steps: 0, reward: -104.21
Episode: 135, total numsteps: 13167, episode steps: 0, reward: -121.13
Episode: 136, total numsteps: 13232, episode steps: 0, reward: -103.11
Episode: 137, total numsteps: 13305, episode steps: 0, reward: -79.89
Episode: 138, total numsteps: 13393, episode steps: 0, reward: -222.14
Episode: 139, total numsteps: 13549, episode steps: 0, reward: -209.8
Episode: 140, total numsteps: 13627, episode steps: 0, reward: -169.13
Episode: 141, total numsteps: 13703, episode steps: 0, reward: -178.07
Episode: 142, total numsteps: 13775, episode steps: 0, reward: -188.18
