Episode: 1, total numsteps: 99, episode steps: 0, reward: -244.35
Episode: 2, total numsteps: 181, episode steps: 0, reward: -182.65
Episode: 3, total numsteps: 299, episode steps: 0, reward: -345.13
Episode: 4, total numsteps: 383, episode steps: 0, reward: -233.64
Episode: 5, total numsteps: 482, episode steps: 0, reward: -89.37
Episode: 6, total numsteps: 642, episode steps: 0, reward: -403.97
Episode: 7, total numsteps: 740, episode steps: 0, reward: -351.2
Episode: 8, total numsteps: 812, episode steps: 0, reward: -142.63
Episode: 9, total numsteps: 903, episode steps: 0, reward: -444.2
Episode: 10, total numsteps: 991, episode steps: 0, reward: -112.37
Episode: 11, total numsteps: 1088, episode steps: 0, reward: -56.76
Episode: 12, total numsteps: 1195, episode steps: 0, reward: -175.35
Episode: 13, total numsteps: 1304, episode steps: 0, reward: -93.01
Episode: 14, total numsteps: 1403, episode steps: 0, reward: -251.91
Episode: 15, total numsteps: 1515, episode steps: 0, reward: -454.19
Episode: 16, total numsteps: 1591, episode steps: 0, reward: -191.96
Episode: 17, total numsteps: 1677, episode steps: 0, reward: -191.62
Episode: 18, total numsteps: 1843, episode steps: 0, reward: -181.95
Episode: 19, total numsteps: 1982, episode steps: 0, reward: -560.78
Episode: 20, total numsteps: 2099, episode steps: 0, reward: -172.42
Episode: 21, total numsteps: 2195, episode steps: 0, reward: -559.39
Episode: 22, total numsteps: 2309, episode steps: 0, reward: -214.18
Episode: 23, total numsteps: 2464, episode steps: 0, reward: -285.06
Episode: 24, total numsteps: 2661, episode steps: 0, reward: -430.35
Episode: 25, total numsteps: 2741, episode steps: 0, reward: -329.55
Episode: 26, total numsteps: 2850, episode steps: 0, reward: -231.84
Episode: 27, total numsteps: 2977, episode steps: 0, reward: -188.22
Episode: 28, total numsteps: 3108, episode steps: 0, reward: -337.35
Episode: 29, total numsteps: 3200, episode steps: 0, reward: -78.79
Episode: 30, total numsteps: 3374, episode steps: 0, reward: -7.72
Episode: 31, total numsteps: 4374, episode steps: 0, reward: -103.62
Episode: 32, total numsteps: 5374, episode steps: 0, reward: -169.27
Episode: 33, total numsteps: 6374, episode steps: 0, reward: -161.35
Episode: 34, total numsteps: 7374, episode steps: 0, reward: -139.63
Episode: 35, total numsteps: 8374, episode steps: 0, reward: -149.88
Episode: 36, total numsteps: 8687, episode steps: 0, reward: -192.62
Episode: 37, total numsteps: 8876, episode steps: 0, reward: -186.12
Episode: 38, total numsteps: 9140, episode steps: 0, reward: -223.48
Episode: 39, total numsteps: 9662, episode steps: 0, reward: -197.61
Episode: 40, total numsteps: 10068, episode steps: 0, reward: -141.26
Episode: 41, total numsteps: 11068, episode steps: 0, reward: -120.25
Episode: 42, total numsteps: 12068, episode steps: 0, reward: -160.49
Episode: 43, total numsteps: 13068, episode steps: 0, reward: -157.13
Episode: 44, total numsteps: 13821, episode steps: 0, reward: -280.2
Episode: 45, total numsteps: 14821, episode steps: 0, reward: -142.66
Episode: 46, total numsteps: 15821, episode steps: 0, reward: -156.99
Episode: 47, total numsteps: 16821, episode steps: 0, reward: -113.8
Episode: 48, total numsteps: 17821, episode steps: 0, reward: -95.12
Episode: 49, total numsteps: 18821, episode steps: 0, reward: -88.72
Episode: 50, total numsteps: 19821, episode steps: 0, reward: -134.09
Episode: 51, total numsteps: 20821, episode steps: 0, reward: -119.94
Episode: 52, total numsteps: 21821, episode steps: 0, reward: -175.02
Episode: 53, total numsteps: 21984, episode steps: 0, reward: -198.88
Episode: 54, total numsteps: 22984, episode steps: 0, reward: -110.63
Episode: 55, total numsteps: 23984, episode steps: 0, reward: -165.95
Episode: 56, total numsteps: 24984, episode steps: 0, reward: -187.16
Episode: 57, total numsteps: 25984, episode steps: 0, reward: -123.16
Episode: 58, total numsteps: 26984, episode steps: 0, reward: -121.4
Episode: 59, total numsteps: 27984, episode steps: 0, reward: -141.77
Episode: 60, total numsteps: 28212, episode steps: 0, reward: -164.25
Episode: 61, total numsteps: 29212, episode steps: 0, reward: -118.16
Episode: 62, total numsteps: 30212, episode steps: 0, reward: -169.79
Episode: 63, total numsteps: 31212, episode steps: 0, reward: -238.35
Episode: 64, total numsteps: 32212, episode steps: 0, reward: -135.14
Episode: 65, total numsteps: 33212, episode steps: 0, reward: -185.18
Episode: 66, total numsteps: 34212, episode steps: 0, reward: -185.13
Episode: 67, total numsteps: 35212, episode steps: 0, reward: -154.42
Episode: 68, total numsteps: 36212, episode steps: 0, reward: -142.86
Episode: 69, total numsteps: 37212, episode steps: 0, reward: -160.6
Episode: 70, total numsteps: 38212, episode steps: 0, reward: -142.37
Episode: 71, total numsteps: 39212, episode steps: 0, reward: -207.21
Episode: 72, total numsteps: 40212, episode steps: 0, reward: -181.11
Episode: 73, total numsteps: 41148, episode steps: 0, reward: -329.71
Episode: 74, total numsteps: 42148, episode steps: 0, reward: -153.03
Episode: 75, total numsteps: 42616, episode steps: 0, reward: -192.45
Episode: 76, total numsteps: 43616, episode steps: 0, reward: -197.56
Episode: 77, total numsteps: 44616, episode steps: 0, reward: -164.73
Episode: 78, total numsteps: 45616, episode steps: 0, reward: -129.07
Episode: 79, total numsteps: 46616, episode steps: 0, reward: -185.05
Episode: 80, total numsteps: 47616, episode steps: 0, reward: -164.16
Episode: 81, total numsteps: 48616, episode steps: 0, reward: -76.36
Episode: 82, total numsteps: 49616, episode steps: 0, reward: -203.98
Episode: 83, total numsteps: 50616, episode steps: 0, reward: -155.73
Episode: 84, total numsteps: 51616, episode steps: 0, reward: -166.48
Episode: 85, total numsteps: 52616, episode steps: 0, reward: -186.95
Episode: 86, total numsteps: 53616, episode steps: 0, reward: -147.19
Episode: 87, total numsteps: 54392, episode steps: 0, reward: -8.68
Episode: 88, total numsteps: 55392, episode steps: 0, reward: -209.75
Episode: 89, total numsteps: 56392, episode steps: 0, reward: -172.07
Episode: 90, total numsteps: 57392, episode steps: 0, reward: -111.84
Episode: 91, total numsteps: 58392, episode steps: 0, reward: -146.4
Episode: 92, total numsteps: 59392, episode steps: 0, reward: -147.39
Episode: 93, total numsteps: 60392, episode steps: 0, reward: -122.82
