Episode: 1, total numsteps: 99, episode steps: 0, reward: -244.35
Episode: 2, total numsteps: 181, episode steps: 0, reward: -182.65
Episode: 3, total numsteps: 299, episode steps: 0, reward: -345.13
Episode: 4, total numsteps: 383, episode steps: 0, reward: -233.64
Episode: 5, total numsteps: 482, episode steps: 0, reward: -89.37
Episode: 6, total numsteps: 642, episode steps: 0, reward: -403.97
Episode: 7, total numsteps: 740, episode steps: 0, reward: -351.2
Episode: 8, total numsteps: 812, episode steps: 0, reward: -142.63
Episode: 9, total numsteps: 903, episode steps: 0, reward: -444.2
Episode: 10, total numsteps: 991, episode steps: 0, reward: -112.37
Episode: 11, total numsteps: 1088, episode steps: 0, reward: -56.76
Episode: 12, total numsteps: 1195, episode steps: 0, reward: -175.35
Episode: 13, total numsteps: 1304, episode steps: 0, reward: -93.01
Episode: 14, total numsteps: 1403, episode steps: 0, reward: -251.91
Episode: 15, total numsteps: 1515, episode steps: 0, reward: -454.19
Episode: 16, total numsteps: 1591, episode steps: 0, reward: -191.96
Episode: 17, total numsteps: 1677, episode steps: 0, reward: -191.62
Episode: 18, total numsteps: 1843, episode steps: 0, reward: -181.95
Episode: 19, total numsteps: 1982, episode steps: 0, reward: -560.78
Episode: 20, total numsteps: 2096, episode steps: 0, reward: -152.95
Episode: 21, total numsteps: 2234, episode steps: 0, reward: -325.86
Episode: 22, total numsteps: 2380, episode steps: 0, reward: -316.14
Episode: 23, total numsteps: 2513, episode steps: 0, reward: -523.53
Episode: 24, total numsteps: 2645, episode steps: 0, reward: -354.95
Episode: 25, total numsteps: 2745, episode steps: 0, reward: -114.01
Episode: 26, total numsteps: 2913, episode steps: 0, reward: -343.69
Episode: 27, total numsteps: 2997, episode steps: 0, reward: -200.48
Episode: 28, total numsteps: 3094, episode steps: 0, reward: -23.96
Episode: 29, total numsteps: 3225, episode steps: 0, reward: -204.69
Episode: 30, total numsteps: 3382, episode steps: 0, reward: -209.26
Episode: 31, total numsteps: 3513, episode steps: 0, reward: -182.9
Episode: 32, total numsteps: 3717, episode steps: 0, reward: -211.86
Episode: 33, total numsteps: 4364, episode steps: 0, reward: -114.63
Episode: 34, total numsteps: 5233, episode steps: 0, reward: -168.92
Episode: 35, total numsteps: 5563, episode steps: 0, reward: -39.84
Episode: 36, total numsteps: 5900, episode steps: 0, reward: -88.17
Episode: 37, total numsteps: 6303, episode steps: 0, reward: 1.73
Episode: 38, total numsteps: 6549, episode steps: 0, reward: -145.3
Episode: 39, total numsteps: 6702, episode steps: 0, reward: -111.17
Episode: 40, total numsteps: 7091, episode steps: 0, reward: -179.55
Episode: 41, total numsteps: 7301, episode steps: 0, reward: -41.88
Episode: 42, total numsteps: 8301, episode steps: 0, reward: -58.43
Episode: 43, total numsteps: 8499, episode steps: 0, reward: -131.35
Episode: 44, total numsteps: 8761, episode steps: 0, reward: -118.57
Episode: 45, total numsteps: 9296, episode steps: 0, reward: -295.39
Episode: 46, total numsteps: 10296, episode steps: 0, reward: -104.78
Episode: 47, total numsteps: 10437, episode steps: 0, reward: -39.87
Episode: 48, total numsteps: 11437, episode steps: 0, reward: -80.55
Episode: 49, total numsteps: 12437, episode steps: 0, reward: -72.25
Episode: 50, total numsteps: 13437, episode steps: 0, reward: -69.03
Episode: 51, total numsteps: 14437, episode steps: 0, reward: -30.74
Episode: 52, total numsteps: 15437, episode steps: 0, reward: -32.27
Episode: 53, total numsteps: 16437, episode steps: 0, reward: -38.69
Episode: 54, total numsteps: 17437, episode steps: 0, reward: -56.02
Episode: 55, total numsteps: 18437, episode steps: 0, reward: -33.22
Episode: 56, total numsteps: 19437, episode steps: 0, reward: -46.97
Episode: 57, total numsteps: 20437, episode steps: 0, reward: -13.9
Episode: 58, total numsteps: 21437, episode steps: 0, reward: -51.29
Episode: 59, total numsteps: 22437, episode steps: 0, reward: -85.27
Episode: 60, total numsteps: 23437, episode steps: 0, reward: -90.74
Episode: 61, total numsteps: 24437, episode steps: 0, reward: -70.3
Episode: 62, total numsteps: 25437, episode steps: 0, reward: -34.14
Episode: 63, total numsteps: 26437, episode steps: 0, reward: -104.82
Episode: 64, total numsteps: 27437, episode steps: 0, reward: -94.61
Episode: 65, total numsteps: 27962, episode steps: 0, reward: -117.53
Episode: 66, total numsteps: 28238, episode steps: 0, reward: -104.17
Episode: 67, total numsteps: 29238, episode steps: 0, reward: -55.16
Episode: 68, total numsteps: 30238, episode steps: 0, reward: -40.4
Episode: 69, total numsteps: 31238, episode steps: 0, reward: -85.77
Episode: 70, total numsteps: 32238, episode steps: 0, reward: -67.21
Episode: 71, total numsteps: 33025, episode steps: 0, reward: -185.09
Episode: 72, total numsteps: 34025, episode steps: 0, reward: -73.68
Episode: 73, total numsteps: 35025, episode steps: 0, reward: -46.46
Episode: 74, total numsteps: 36025, episode steps: 0, reward: -64.92
Episode: 75, total numsteps: 37025, episode steps: 0, reward: -69.95
Episode: 76, total numsteps: 38025, episode steps: 0, reward: -68.74
Episode: 77, total numsteps: 39025, episode steps: 0, reward: -83.43
Episode: 78, total numsteps: 40025, episode steps: 0, reward: -12.07
Episode: 79, total numsteps: 41025, episode steps: 0, reward: -75.8
Episode: 80, total numsteps: 42025, episode steps: 0, reward: -103.09
Episode: 81, total numsteps: 43025, episode steps: 0, reward: -43.64
Episode: 82, total numsteps: 44025, episode steps: 0, reward: -86.17
Episode: 83, total numsteps: 45025, episode steps: 0, reward: -62.13
Episode: 84, total numsteps: 46025, episode steps: 0, reward: -85.22
Episode: 85, total numsteps: 47025, episode steps: 0, reward: -65.07
Episode: 86, total numsteps: 48025, episode steps: 0, reward: -80.39
Episode: 87, total numsteps: 49025, episode steps: 0, reward: -44.67
Episode: 88, total numsteps: 50025, episode steps: 0, reward: -7.26
Episode: 89, total numsteps: 51025, episode steps: 0, reward: -98.64
Episode: 90, total numsteps: 52025, episode steps: 0, reward: -46.64
Episode: 91, total numsteps: 53025, episode steps: 0, reward: -60.01
Episode: 92, total numsteps: 54025, episode steps: 0, reward: -69.42
Episode: 93, total numsteps: 55025, episode steps: 0, reward: -66.54
Episode: 94, total numsteps: 56025, episode steps: 0, reward: -86.27
Episode: 95, total numsteps: 57025, episode steps: 0, reward: -86.02
Episode: 96, total numsteps: 58025, episode steps: 0, reward: -23.56
Episode: 97, total numsteps: 59025, episode steps: 0, reward: -36.97
Episode: 98, total numsteps: 60025, episode steps: 0, reward: -28.93
